,epoch,train_loss,test_loss,test_accuracy,test_accuracy_0,test_accuracy_1,test_accuracy_2,test_accuracy_3,test_accuracy_4,test_accuracy_5,test_accuracy_6,test_accuracy_7,test_accuracy_8,test_accuracy_9,test_accuracy_10,test_accuracy_11,test_accuracy_12,test_accuracy_13,test_accuracy_14,test_accuracy_15,test_accuracy_16,test_accuracy_17,test_accuracy_18,test_accuracy_19,test_accuracy_20,test_accuracy_21,test_accuracy_22,test_accuracy_23,test_accuracy_24,test_accuracy_25,test_accuracy_26,test_accuracy_27,test_accuracy_28,test_accuracy_29,test_accuracy_30,test_accuracy_31,test_accuracy_32,test_accuracy_33,test_accuracy_34,test_accuracy_35,test_accuracy_36,test_accuracy_37,test_accuracy_38,test_accuracy_39,test_accuracy_40,test_accuracy_41,test_accuracy_42,test_accuracy_43,test_accuracy_44,test_accuracy_45,test_accuracy_46,test_accuracy_47,test_accuracy_48,test_accuracy_49,test_accuracy_50,test_accuracy_51,test_accuracy_52,test_accuracy_53,test_accuracy_54,test_accuracy_55,test_accuracy_56,test_accuracy_57,test_accuracy_58,test_accuracy_59,test_accuracy_60,test_accuracy_61,test_accuracy_62,test_accuracy_63,test_accuracy_64,test_accuracy_65,test_accuracy_66,test_accuracy_67,test_accuracy_68,test_accuracy_69,test_accuracy_70,test_accuracy_71,test_accuracy_72,test_accuracy_73,test_accuracy_74,test_accuracy_75
0,0,0.2656365966064888,0.25965485690345225,0.2755281690140845,0.0,1.0,0.0,0.47619047619047616,0.0,0.17647058823529413,0.0,0.0,1.0,1.0,0.0,1.0,0.8461538461538461,0.0,1.0,0.5,0.0,0.0,1.0,1.0,0.0,0.0,0.2,0.0,1.0,0.0,0.36363636363636365,0.0,1.0,0.0,1.0,0.09090909090909091,0.06666666666666667,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.21052631578947367,0.0,0.0,0.0,0.0,1.0,0.3333333333333333,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.8571428571428571,0.3,0.0625,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.42857142857142855,0.0,0.0
1,1,0.2515032216122276,0.2465201393819191,0.5211267605633803,0.0,1.0,0.0,1.0,0.0,0.5294117647058824,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.9285714285714286,1.0,1.0,0.1875,0.7058823529411765,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.16666666666666666,1.0,1.0,1.0,1.0,0.6666666666666666,0.0,0.0,1.0,0.06666666666666667,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.8333333333333334,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.5,0.0,1.0,1.0,0.0,0.3684210526315789,0.8,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0
2,2,0.24074313734707078,0.237495760262852,0.6355633802816901,0.6666666666666666,1.0,0.0,1.0,0.45,0.9411764705882353,0.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,0.625,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.058823529411764705,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.9444444444444444,0.0,1.0,1.0,0.0,0.8421052631578947,1.0,1.0,1.0,0.3333333333333333,1.0,0.0,1.0,0.0,0.0
3,3,0.23403539150430444,0.2314601786119837,0.7447183098591549,1.0,1.0,0.0,1.0,1.0,1.0,0.47368421052631576,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.8823529411764706,0.0,0.9545454545454546,0.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,0.7272727272727273,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
4,4,0.22883360155841762,0.22705507173504627,0.7746478873239436,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.5625,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
5,5,0.2257047804824093,0.22416006259515253,0.8072183098591549,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.9473684210526315,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
6,6,0.22355614628708154,0.2222620857433534,0.8362676056338029,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.35294117647058826,0.0
7,7,0.22157208124796549,0.22088426204634384,0.8459507042253521,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
8,8,0.2208273012387125,0.22049350826673106,0.8459507042253521,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
9,9,0.22051531296027335,0.22000059485435486,0.858274647887324,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0
